account_id,churn_score,risk_level,MRR,quadrant,action_recommandee
A-e888d1,0.72,low,1281.3,Q2 - Action automatisée,Email automatisé de relance
A-69fad4,0.99,high,1245.857142857143,Q2 - Action automatisée,Email automatisé de relance
A-9289f6,1.0,high,323.0,Q2 - Action automatisée,Email automatisé de relance
A-f19409,1.0,high,2156.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-22f2df,0.63,low,827.8888888888889,Q2 - Action automatisée,Email automatisé de relance
A-039727,0.92,medium,2428.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-2e3bad,0.91,medium,4529.25,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-484819,0.97,high,2502.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-425e76,0.87,medium,1555.5454545454545,Q2 - Action automatisée,Email automatisé de relance
A-e83938,0.92,medium,937.875,Q2 - Action automatisée,Email automatisé de relance
A-ad296b,0.22,low,3071.6666666666665,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-e51ec7,0.98,high,2487.5,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-0aaf6e,0.16,low,2676.0,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-e61e98,0.65,low,1498.2222222222222,Q2 - Action automatisée,Email automatisé de relance
A-92a333,0.13,low,1776.5,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-95b24a,0.2,low,2275.818181818182,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-42e5e1,0.95,high,1012.0,Q2 - Action automatisée,Email automatisé de relance
A-7d514c,0.52,low,2697.1111111111113,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-65aeb5,0.82,low,2866.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-e2cd1b,0.26,low,1394.2222222222222,Q4 - Stable,Aucune action prioritaire
A-180abf,0.88,medium,5964.8,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-f17767,0.96,high,639.3333333333334,Q2 - Action automatisée,Email automatisé de relance
A-5a184f,0.59,low,2497.5,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-7df7a7,0.73,low,1755.1666666666667,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-1ac5e0,0.27,low,1824.9,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-52dd88,0.12,low,1508.3636363636365,Q4 - Stable,Aucune action prioritaire
A-bece89,0.96,high,3477.6,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-029f69,0.79,low,964.4285714285714,Q2 - Action automatisée,Email automatisé de relance
A-5c046d,0.83,low,10485.75,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-fb186e,0.34,low,1923.6666666666667,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-ae052e,0.91,medium,1538.6,Q2 - Action automatisée,Email automatisé de relance
A-9f9299,0.91,medium,3451.6363636363635,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-96e141,0.91,medium,2209.714285714286,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-117171,0.89,medium,3270.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-313be3,0.94,medium,3885.3333333333335,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-671f31,0.27,low,5064.166666666667,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-bbc346,0.9,medium,2778.5,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-c16101,0.65,low,1342.111111111111,Q2 - Action automatisée,Email automatisé de relance
A-50f3f7,0.15,low,2938.4666666666667,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-7da956,0.27,low,913.5833333333334,Q4 - Stable,Aucune action prioritaire
A-019782,0.16,low,928.1111111111112,Q4 - Stable,Aucune action prioritaire
A-df10db,0.91,medium,1008.4444444444443,Q2 - Action automatisée,Email automatisé de relance
A-3932db,0.22,low,1565.2222222222222,Q4 - Stable,Aucune action prioritaire
A-4f18f0,0.89,medium,2709.818181818182,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-4c6f11,0.94,medium,1517.2,Q2 - Action automatisée,Email automatisé de relance
A-8ae05d,0.96,high,1225.5,Q2 - Action automatisée,Email automatisé de relance
A-b78bf8,0.9,medium,2359.5,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-eafc6e,0.85,low,2318.4285714285716,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-37f969,0.89,medium,2869.875,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-10b8f2,0.85,low,2836.7,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-439b2f,0.96,high,104.4,Q2 - Action automatisée,Email automatisé de relance
A-544d0a,0.55,low,1849.2,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-ba6516,0.97,high,1962.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-712426,0.76,low,842.3076923076923,Q2 - Action automatisée,Email automatisé de relance
A-038089,0.7,low,1004.5,Q2 - Action automatisée,Email automatisé de relance
A-afa505,0.93,medium,1715.0,Q2 - Action automatisée,Email automatisé de relance
A-d5a319,0.16,low,3153.9166666666665,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-f97b9a,0.1,low,2166.6363636363635,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-2f6a32,0.25,low,683.0,Q4 - Stable,Aucune action prioritaire
A-856b1e,0.88,medium,1053.5,Q2 - Action automatisée,Email automatisé de relance
A-17939a,0.26,low,879.0,Q4 - Stable,Aucune action prioritaire
A-d27f50,0.23,low,3734.5833333333335,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-e36807,0.31,low,1256.9,Q4 - Stable,Aucune action prioritaire
A-ff79f2,0.29,low,3097.0,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-5b1bcd,0.8,low,8826.363636363636,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-71615e,0.96,high,2985.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-794a0b,0.92,medium,1510.7142857142858,Q2 - Action automatisée,Email automatisé de relance
A-86902e,0.28,low,3252.777777777778,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-0532a9,0.89,medium,551.0,Q2 - Action automatisée,Email automatisé de relance
A-9779ad,0.9,medium,6368.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-f45426,0.68,low,980.1428571428572,Q2 - Action automatisée,Email automatisé de relance
A-c1e51e,0.89,medium,2255.285714285714,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-fa3095,0.81,low,7822.5,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-ad64c6,0.98,high,2653.3333333333335,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-39b19f,0.99,high,980.0,Q2 - Action automatisée,Email automatisé de relance
A-56962b,0.93,medium,0.0,Q2 - Action automatisée,Email automatisé de relance
A-e60f9d,0.66,low,3387.8,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-88c6ca,0.87,medium,921.2857142857144,Q2 - Action automatisée,Email automatisé de relance
A-158f4e,0.8,low,3654.9166666666665,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-5b051a,0.33,low,583.0,Q4 - Stable,Aucune action prioritaire
A-296d7c,0.95,high,259.4,Q2 - Action automatisée,Email automatisé de relance
A-1619f8,0.94,medium,3832.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-a1b80b,0.83,low,2660.875,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-139c3b,0.22,low,1128.375,Q4 - Stable,Aucune action prioritaire
A-702032,0.91,medium,5572.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-7a0d69,0.89,medium,942.0,Q2 - Action automatisée,Email automatisé de relance
A-22d9d2,0.58,low,862.3636363636364,Q2 - Action automatisée,Email automatisé de relance
A-b9eed8,0.95,high,2985.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-dfbd31,0.34,low,1791.357142857143,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-8e47ca,0.91,medium,3124.4444444444443,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-4437e4,0.89,medium,748.7142857142857,Q2 - Action automatisée,Email automatisé de relance
A-779e4e,0.21,low,2808.1,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-53f4e3,0.8,low,1516.7777777777778,Q2 - Action automatisée,Email automatisé de relance
A-692f18,0.5,low,1797.0588235294117,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-13466a,0.99,high,3999.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-1986ca,0.16,low,3951.571428571429,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-0cc442,0.83,low,3507.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-c608c8,0.91,medium,1240.2,Q2 - Action automatisée,Email automatisé de relance
A-3be56b,0.92,medium,1162.625,Q2 - Action automatisée,Email automatisé de relance
A-354f12,0.96,high,3482.5,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-68f37c,0.79,low,2689.1666666666665,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-aa9511,0.98,high,1127.0,Q2 - Action automatisée,Email automatisé de relance
A-af0cd2,1.0,high,583.5714285714286,Q2 - Action automatisée,Email automatisé de relance
A-bd4513,0.76,low,5750.666666666667,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-c222ab,0.92,medium,3168.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-34d880,0.86,medium,2329.3333333333335,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-508199,0.37,low,1687.2,Q4 - Stable,Aucune action prioritaire
A-f03140,0.68,low,1962.75,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-410e86,0.37,low,2280.0,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-fa2041,0.97,high,1274.0,Q2 - Action automatisée,Email automatisé de relance
A-de58ca,0.11,low,2173.181818181818,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-05d3b3,0.85,low,865.8,Q2 - Action automatisée,Email automatisé de relance
A-249769,0.85,low,1209.0,Q2 - Action automatisée,Email automatisé de relance
A-e43bf7,1.0,high,8756.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-eb2fdc,0.93,medium,2759.4,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-e1462e,0.31,low,1718.571428571429,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-cab532,0.85,low,1311.6,Q2 - Action automatisée,Email automatisé de relance
A-9123ac,0.86,medium,2107.285714285714,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-6e08f3,0.94,medium,0.0,Q2 - Action automatisée,Email automatisé de relance
A-d922bf,0.8,low,2553.8333333333335,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-8ed5dd,0.85,low,1061.0,Q2 - Action automatisée,Email automatisé de relance
A-7c6b6b,0.96,high,1274.0,Q2 - Action automatisée,Email automatisé de relance
A-3c1a3f,0.17,low,1242.4166666666667,Q4 - Stable,Aucune action prioritaire
A-b48f73,0.34,low,4045.714285714286,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-76fa4d,0.95,high,10281.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-b2af2e,0.96,high,695.3333333333334,Q2 - Action automatisée,Email automatisé de relance
A-9bfc9f,0.24,low,1704.6666666666667,Q4 - Stable,Aucune action prioritaire
A-4ae22a,0.92,medium,5572.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-fda07f,0.87,medium,2985.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-de24d5,0.29,low,1640.5384615384614,Q4 - Stable,Aucune action prioritaire
A-977ca0,0.06,low,1878.4375,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-ab438f,0.91,medium,2626.8,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-e89151,0.71,low,2414.8888888888887,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-40906c,0.14,low,5366.666666666667,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-81edc3,0.79,low,1502.6363636363635,Q2 - Action automatisée,Email automatisé de relance
A-328bd0,0.13,low,1229.1538461538462,Q4 - Stable,Aucune action prioritaire
A-b3fe05,0.84,low,2721.5555555555557,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-09540c,1.0,high,0.0,Q2 - Action automatisée,Email automatisé de relance
A-e693b6,0.89,medium,2110.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-2446e3,0.92,medium,2673.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-241e75,0.98,high,718.8,Q2 - Action automatisée,Email automatisé de relance
A-922109,0.88,medium,1086.0,Q2 - Action automatisée,Email automatisé de relance
A-ff3c73,0.76,low,536.4,Q2 - Action automatisée,Email automatisé de relance
A-8b0451,0.41,low,3170.9,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-331424,0.96,high,799.3333333333334,Q2 - Action automatisée,Email automatisé de relance
A-51ec1b,1.0,high,0.0,Q2 - Action automatisée,Email automatisé de relance
A-bcf664,0.92,medium,912.0,Q2 - Action automatisée,Email automatisé de relance
A-90a8c8,0.89,medium,1568.0,Q2 - Action automatisée,Email automatisé de relance
A-86cdb4,0.78,low,394.55555555555554,Q2 - Action automatisée,Email automatisé de relance
A-4bfa33,0.96,high,800.8571428571429,Q2 - Action automatisée,Email automatisé de relance
A-dbc825,0.94,medium,3781.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-c70870,0.98,high,294.5,Q2 - Action automatisée,Email automatisé de relance
A-7c4956,0.22,low,426.125,Q4 - Stable,Aucune action prioritaire
A-0651a4,0.67,low,2259.214285714286,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-3ce5b8,0.4,low,2749.6666666666665,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-bd4708,0.22,low,2998.076923076923,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-993085,0.97,high,4166.875,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-92a3af,0.16,low,3139.818181818182,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-151c9a,0.99,high,1274.0,Q2 - Action automatisée,Email automatisé de relance
A-474ad4,0.2,low,808.3333333333334,Q4 - Stable,Aucune action prioritaire
A-4ef964,0.94,medium,1683.0,Q2 - Action automatisée,Email automatisé de relance
A-fd9422,0.28,low,3125.5555555555557,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-0baac2,0.94,medium,3083.3333333333335,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-bb1486,0.88,medium,2482.6666666666665,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-560d27,0.32,low,3470.0833333333335,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-0b0d6d,0.91,medium,1800.4,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-2789e3,0.31,low,2040.75,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-b07346,0.92,medium,969.0,Q2 - Action automatisée,Email automatisé de relance
A-902ef7,0.97,high,4067.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-20736a,0.99,high,0.0,Q2 - Action automatisée,Email automatisé de relance
A-e4bf56,0.2,low,2703.714285714286,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-cea1f0,0.3,low,1224.4,Q4 - Stable,Aucune action prioritaire
A-ef84cf,0.88,medium,1501.4,Q2 - Action automatisée,Email automatisé de relance
A-d49cc5,0.97,high,1700.0,Q2 - Action automatisée,Email automatisé de relance
A-67be94,0.97,high,3442.6666666666665,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-4e960a,0.16,low,1995.1666666666667,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-c37cab,0.74,low,3123.5555555555557,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-533452,0.95,high,2214.25,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-443b7c,0.25,low,1503.875,Q4 - Stable,Aucune action prioritaire
A-1f7acb,0.59,low,5864.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-f51f16,0.87,medium,1663.75,Q2 - Action automatisée,Email automatisé de relance
A-5a3eb9,0.88,medium,1570.6666666666667,Q2 - Action automatisée,Email automatisé de relance
A-5f2961,0.97,high,1393.0,Q2 - Action automatisée,Email automatisé de relance
A-417d2f,0.39,low,1433.3125,Q4 - Stable,Aucune action prioritaire
A-e98302,0.75,low,2094.5,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-8bde0c,0.82,low,1899.888888888889,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-bcf87c,0.28,low,1979.090909090909,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-54ecc2,0.72,low,1469.8181818181818,Q2 - Action automatisée,Email automatisé de relance
A-625d0b,0.81,low,1081.1818181818182,Q2 - Action automatisée,Email automatisé de relance
A-fce879,0.96,high,1599.5,Q2 - Action automatisée,Email automatisé de relance
A-b07b56,0.88,medium,1132.2666666666669,Q2 - Action automatisée,Email automatisé de relance
A-6da850,0.88,medium,1388.6923076923076,Q2 - Action automatisée,Email automatisé de relance
A-342303,0.99,high,0.0,Q2 - Action automatisée,Email automatisé de relance
A-e7a1e2,0.91,medium,1109.6,Q2 - Action automatisée,Email automatisé de relance
A-f1f639,0.98,high,376.0,Q2 - Action automatisée,Email automatisé de relance
A-a865bd,1.0,high,1862.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-4e631b,0.21,low,2218.0,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-7f6b86,0.93,medium,1134.3333333333333,Q2 - Action automatisée,Email automatisé de relance
A-8adedc,0.78,low,2023.428571428571,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-2edab2,0.97,high,1088.0,Q2 - Action automatisée,Email automatisé de relance
A-149a69,0.94,medium,0.0,Q2 - Action automatisée,Email automatisé de relance
A-a6d261,0.97,high,1292.5,Q2 - Action automatisée,Email automatisé de relance
A-443f6f,0.3,low,1510.4444444444443,Q4 - Stable,Aucune action prioritaire
A-202b67,0.91,medium,1549.625,Q2 - Action automatisée,Email automatisé de relance
A-00bed1,0.97,high,1159.0,Q2 - Action automatisée,Email automatisé de relance
A-ffc04f,0.87,medium,2641.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
